id,Τίτλος,Περιοδικό,DOI,Αναφορές
pub.1132691030,precisionFDA Truth Challenge V2: Calling variants from short- and long-reads in difficult-to-map regions,bioRxiv,10.1101/2020.11.13.380741,7
pub.1128712496,"Ethyl alcohol threshold test: a fast, reliable and affordable olfactory Assessment tool for COVID-19 patients",European Archives of Oto-Rhino-Laryngology,10.1007/s00405-020-06131-3,7
pub.1128380412,A Mini-Review: Needleless Electrospinning of Nanofibers for Pharmaceutical and Biomedical Applications,Processes,10.3390/pr8060673,7
pub.1134670780,Global impact of COVID-19 on stroke care.,International Journal of Stroke,10.1177/1747493021991652,7
pub.1127864409,Gathering evidence on the decreased emergency room visits during theCovid 19 pandemic,Public Health,10.1016/j.puhe.2020.05.036,7
pub.1132669647,The necessity of diplomacy in brain health,The Lancet Neurology,10.1016/s1474-4422(20)30358-6,7
pub.1134729332,Psycho-social factors associated with mental resilience in the Corona lockdown,Translational Psychiatry,10.1038/s41398-020-01150-4,7
pub.1128081918,Worsening of pre-existing psychiatric conditions during the COVID-19 pandemic,medRxiv,10.1101/2020.05.28.20116178,7
pub.1129053186,Quantifying Soil Compaction in Persimmon Orchards Using ISUM (Improved Stock Unearthing Method) and Core Sampling Methods,Agriculture,10.3390/agriculture10070266,6
pub.1134825596,Nicotinic cholinergic system and COVID-19: In silico identification of interactions between α7 nicotinic acetylcholine receptor and the cryptic epitopes of SARS-Co-V and SARS-CoV-2 Spike glycoproteins,Food and Chemical Toxicology,10.1016/j.fct.2021.112009,6
pub.1134396442,Cross-sectional prevalence of SARS-CoV-2 antibodies in healthcare workers in paediatric facilities in eight countries,Journal of Hospital Infection,10.1016/j.jhin.2020.12.019,6
pub.1132230282,"The foundation of the Institute of Paediatric Virology on the island of Euboea, Greece (Review)",Experimental and Therapeutic Medicine,10.3892/etm.2020.9432,6
pub.1128307288,Manufacturing of hybrid drug delivery systems by utilizing the fused filament fabrication (FFF) technology,Expert Opinion on Drug Delivery,10.1080/17425247.2020.1776260,6
pub.1130071590,Interleukin-6 Blocking vs. JAK-STAT Inhibition for Prevention of Lung Injury in Patients with COVID-19,Infectious Diseases and Therapy,10.1007/s40121-020-00326-1,6
pub.1132613575,"Impact of COVID-19 on Urban Everyday Life in Greece. Perceptions, Experiences and Practices of the Active Population",Sustainability,10.3390/su12229410,6
pub.1128884974,Setting up an Easy-to-Use Machine Learning Pipeline for Medical Decision Support: A Case Study for COVID-19 Diagnosis Based on Deep Learning with CT Scans.,null,10.3233/shti200481,6
pub.1128948963,Incretin-Based Therapies Role in COVID-19 Era: Evolving Insights,Journal of Cardiovascular Pharmacology and Therapeutics,10.1177/1074248420937868,6
pub.1131627747,A physicochemical model for rationalizing SARS-CoV-2 concentration in sewage. Case study: The city of Thessaloniki in Greece,The Science of The Total Environment,10.1016/j.scitotenv.2020.142855,6
pub.1127379384,Digitally aided telemedicine during the SARS‐CoV‐2 pandemic to screen oral medicine emergencies,Oral Diseases,10.1111/odi.13383,6
pub.1132468735,The impact of COVID‐19 pandemic on people with mild cognitive impairment/dementia and on their caregivers,International Journal of Geriatric Psychiatry,10.1002/gps.5457,6
pub.1127853423,Data driven inference of the reproduction number (R0) for COVID-19 before and after interventions for 51 European countries,medRxiv,10.1101/2020.05.21.20109314,6
pub.1130967393,Implications for European Physical Education Teacher Education during the COVID-19 pandemic: a cross-institutional SWOT analysis,European Journal of Teacher Education,10.1080/02619768.2020.1823963,6
pub.1130893464,Navigating assisted reproduction treatment in the time of COVID-19: concerns and considerations,Journal of Assisted Reproduction and Genetics,10.1007/s10815-020-01942-z,6
pub.1137257016,Low Neutralizing Antibody Responses Against SARS-CoV-2 in Elderly Myeloma Patients After the First BNT162b2 Vaccine Dose,Blood,10.1182/blood.2021011904,6
pub.1132020241,Venous Thromboembolism in COVID-19,Thrombosis and Haemostasis,10.1055/s-0040-1718532,6
pub.1132613581,Harnessing the Potential of Storytelling and Mobile Technology in Intangible Cultural Heritage: A Case Study in Early Childhood Education in Sustainability,Sustainability,10.3390/su12229416,6
pub.1130831399,Generation of SARS-CoV-2 S1 Spike Glycoprotein Putative Antigenic Epitopes in Vitro by Intracellular Aminopeptidases.,Journal of Proteome Research,10.1021/acs.jproteome.0c00457,6
pub.1129317318,From economic crisis to the COVID-19 pandemic crisis: evidence from a mental health helpline in Greece,European Archives of Psychiatry and Clinical Neuroscience,10.1007/s00406-020-01165-4,6
pub.1130145515,Impact of COVID-19 on Clinical and Academic Urological Practice: A Survey from European Association of Urology Section of Uro-technology,European Urology Open Science,10.1016/j.euros.2020.08.001,6
pub.1128115765,Undersampling in action and at scale: application to the COVID-19 pandemic,Stochastic Environmental Research and Risk Assessment,10.1007/s00477-020-01821-0,6
pub.1132162549,A Path toward SARS-CoV-2 Attenuation: Metabolic Pressure on CTP Synthesis Rules the Virus Evolution,Genome Biology and Evolution,10.1093/gbe/evaa229,6
pub.1131225976,Lockdowns and the COVID-19 pandemic: What is the endgame?,Scandinavian Journal of Public Health,10.1177/1403494820961293,6
pub.1134362923,Impact of colchicine on mortality in patients with COVID-19. A meta-analysis.,Hellenic Journal of Cardiology,10.1016/j.hjc.2020.11.012,6
pub.1130536863,"SARS-CoV-2 transmission, the ambiguous role of children and considerations for the reopening of schools in the fall",Future Microbiology,10.2217/fmb-2020-0195,6
pub.1132949602,Covid-19 pandemic effects on food safety - Multi-country survey study,Food Control,10.1016/j.foodcont.2020.107800,6
pub.1128144895,"Covid-19 and refugees, asylum seekers, and migrants in Greece.",The BMJ,10.1136/bmj.m2168,6
pub.1136441122,Recent Randomized Trials of Antithrombotic Therapy for Patients With COVID-19 JACC State-of-the-Art Review,Journal of the American College of Cardiology,10.1016/j.jacc.2021.02.035,6
pub.1128192083,Challenges in Abdominal Organ Transplantation During the COVID-19 Pandemic,Frontiers in Medicine,10.3389/fmed.2020.00287,6
pub.1135834927,Acceptability of COVID-19 Vaccination among Greek Health Professionals,Vaccines,10.3390/vaccines9030200,6
pub.1134490971,"Insights to SARS-CoV-2 life cycle, pathophysiology, and rationalized treatments that target COVID-19 clinical complications",Journal of Biomedical Science,10.1186/s12929-020-00703-5,6
pub.1128313924,High flow nasal cannula oxygen therapy in adults with COVID-19 respiratory failure. A case report,Monaldi Archives for Chest Disease,10.4081/monaldi.2020.1323,6
pub.1130135338,Molecular Epidemiology Analysis of SARS-CoV-2 Strains Circulating in Romania during the First Months of the Pandemic,Life,10.3390/life10080152,6
pub.1132330782,A new auto-tuning model for predicting the rock fragmentation: a cat swarm optimization algorithm,Engineering with Computers,10.1007/s00366-020-01207-4,6
pub.1132823448,Endothelial Damage in Acute Respiratory Distress Syndrome,International Journal of Molecular Sciences,10.3390/ijms21228793,6
pub.1134948847,Nanodiagnosis and nanotreatment of colorectal cancer: an overview,Journal of Nanoparticle Research,10.1007/s11051-020-05129-6,6
pub.1128519322,Update on current views and advances on RSV infection (Review),International Journal of Molecular Medicine,10.3892/ijmm.2020.4641,6
pub.1130125131,"1H, 13C, and 15N backbone chemical shift assignments of the apo and the ADP-ribose bound forms of the macrodomain of SARS-CoV-2 non-structural protein 3b",Biomolecular NMR Assignments,10.1007/s12104-020-09973-4,6
pub.1136669455,Global Impact of COVID-19 on Stroke Care and Intravenous Thrombolysis.,Neurology,10.1212/wnl.0000000000011885,6
pub.1132797274,Intravenous Immunoglobulin for the Treatment of COVID-19: A Promising Tool,Respiration,10.1159/000512727,6
pub.1130614713,3D printing filament as a second life of waste plastics—a review,Environmental Science and Pollution Research,10.1007/s11356-020-10657-8,6
pub.1133446395,Sample pooling strategies for SARS-CoV-2 detection,Journal of Virological Methods,10.1016/j.jviromet.2020.114044,6
pub.1130353790,"The Importance of Redox Status in the Frame of Lifestyle Approaches and the Genetics of the Lung Innate Immune Molecules, SP-A1 and SP-A2, on Differential Outcomes of COVID-19 Infection",Antioxidants,10.3390/antiox9090784,6
pub.1128101598,The Greek Response to COVID-19: A True Success Story from an IBD Perspective,Inflammatory Bowel Diseases,10.1093/ibd/izaa143,6
pub.1128241427,Impact of COVID-19 on Urology Practice: A Global Perspective and Snapshot Analysis,Journal of Clinical Medicine,10.3390/jcm9061730,6
pub.1131671080,SARS-CoV-2 testing and infection control strategies in European paediatric emergency departments during the first wave of the pandemic,European Journal of Pediatrics,10.1007/s00431-020-03843-w,6
pub.1130304151,"Psychosocial consequences of COVID‐19 in children, adolescents and young adults: A systematic review",Psychiatry and Clinical Neurosciences,10.1111/pcn.13134,6
pub.1130303131,"Interplay between oxidative damage, the redox status, and metabolic biomarkers during long-term fasting",Food and Chemical Toxicology,10.1016/j.fct.2020.111701,6
pub.1130184743,The use of digital technology at home during the COVID-19 outbreak: views of social work students in Greece,Social Work Education,10.1080/02615479.2020.1807496,6
pub.1136216810,An open label trial of anakinra to prevent respiratory failure in COVID-19,eLife,10.7554/elife.66125,5
pub.1131773596,Toxic metal exposure as a possible risk factor for COVID-19 and other respiratory infectious diseases,Food and Chemical Toxicology,10.1016/j.fct.2020.111809,5
pub.1132683091,"Perspectives, fears and expectations of patients with gynaecological cancers during the COVID‐19 pandemic: A Pan‐European study of the European Network of Gynaecological Cancer Advocacy Groups (ENGAGe)",Cancer Medicine,10.1002/cam4.3605,5
pub.1133331434,Sleep During “Lockdown” in the COVID-19 Pandemic,International Journal of Environmental Research and Public Health,10.3390/ijerph17239094,5
pub.1127263501,International Organization for the Study of IBD Recommendations for Surgery in Patients With IBD During the Coronavirus Disease 2019 Pandemic.,Diseases of the Colon & Rectum,10.1097/dcr.0000000000001718,5
pub.1127554761,In Vitro Data of Current Therapies for SARS-CoV-2,Current Medicinal Chemistry,10.2174/0929867327666200513075430,5
pub.1131901821,TweetsCOV19 - A Knowledge Base of Semantically Annotated Tweets about the COVID-19 Pandemic,Proceedings of the 29th ACM International Conference on Information & Knowledge Management,10.1145/3340531.3412765,5
pub.1132688757,Histamine receptors and COVID-19,Inflammation Research,10.1007/s00011-020-01422-1,5
pub.1132215804,COVID-19 Impact on Global Maritime Mobility,Research Square,10.21203/rs.3.rs-100286/v1,5
pub.1129038561,False Positive COVID-19 Antibody Test in a Case of Granulomatosis With Polyangiitis,Frontiers in Medicine,10.3389/fmed.2020.00399,5
pub.1128975581,Heterogeneity in reporting venous thromboembolic phenotypes in COVID‐19: methodological issues and clinical implications,British Journal of Haematology,10.1111/bjh.16993,5
pub.1132750967,The haemostatic profile in critically ill COVID-19 patients receiving therapeutic anticoagulant therapy: An observational study.,Medicine,10.1097/md.0000000000023365,5
pub.1129384086,Managing central venous access during a health care crisis,Journal of Vascular Surgery,10.1016/j.jvs.2020.06.112,5
pub.1130397442,Cardiovascular risk assessment in patients with rheumatoid arthritis using carotid ultrasound B-mode imaging,Rheumatology International,10.1007/s00296-020-04691-5,5
pub.1133586676,The growing complexity of COVID-19 drug and vaccine candidates: challenges and critical transitions,Journal of Infection and Public Health,10.1016/j.jiph.2020.12.009,5
pub.1125777241,Health measures to travelers and cruise ships in response to COVID-19,Journal of Travel Medicine,10.1093/jtm/taaa043,5
pub.1128904336,"Employing a Chatbot for News Dissemination during Crisis: Design, Implementation and Evaluation",Future Internet,10.3390/fi12070109,5
pub.1131195157,A case of COVID-19 Convalescent Plasma Donation in Greece: directed donation for compassionate use in the donor's critically ill father,Transfusion Clinique et Biologique,10.1016/j.tracli.2020.09.001,5
pub.1130503758,The Dual Role of Echocardiography in the Diagnosis of Acute Cardiac Complications and Treatment Monitoring for Coronavirus Disease 2019 (COVID-19),Frontiers in Cardiovascular Medicine,10.3389/fcvm.2020.00129,5
pub.1127235282,[Comment] Treatment strategies to fight the new coronavirus SARS-CoV-2: A challenge for a Rubik's Cube solver,Experimental and Therapeutic Medicine,10.3892/etm.2020.8692,5
pub.1137818272,The COVID-19 puzzle: deciphering pathophysiology and phenotypes of a new disease entity,The Lancet Respiratory Medicine,10.1016/s2213-2600(21)00218-6,5
pub.1132189711,Anakinra To Prevent Respiratory Failure In COVID-19,medRxiv,10.1101/2020.10.28.20217455,5
pub.1130769182,Venous thromboembolism in the era of COVID-19,Phlebology The Journal of Venous Disease,10.1177/0268355520955083,5
pub.1134542135,Maternal and Neonatal Characteristics and Outcomes of COVID-19 in Pregnancy: An Overview of Systematic Reviews,International Journal of Environmental Research and Public Health,10.3390/ijerph18020596,5
pub.1128851935,Factors determining different death rates because of the COVID-19 outbreak among countries,Journal of Public Health,10.1093/pubmed/fdaa119,5
pub.1130239608,Facebook group PETCoN (Physical Education Teacher Collaborative Network). An innovative approach to PE teacher in-service training: A self-determination theory perspective,Teaching and Teacher Education,10.1016/j.tate.2020.103184,5
pub.1133534308,Barrow holographic dark energy,Physical Review D,10.1103/physrevd.102.123525,5
pub.1136647007,European Resuscitation Council Guidelines 2021: Ethics of resuscitation and end of life decisions,Resuscitation,10.1016/j.resuscitation.2021.02.017,5
pub.1127691360,Coronavirus Disease 2019 (COVID-19) in adolescents: An update on current clinical and diagnostic characteristics,Acta BioMedica,10.23750/abm.v91i2.9543,5
pub.1131961916,Hospital factors associated with SARS-CoV-2 infection among healthcare personnel in Greece,Journal of Hospital Infection,10.1016/j.jhin.2020.10.010,5
pub.1133449203,Intention of health care workers to accept COVID-19 vaccination and related factors: a systematic review and meta-analysis,medRxiv,10.1101/2020.12.08.20246041,5
pub.1127792999,Understanding Surgical Risk During COVID-19 Pandemic: The Rationale Behind the Decisions,Frontiers in Surgery,10.3389/fsurg.2020.00033,5
pub.1127544777,"COVID-19: Predictive Mathematical Models for the Number of Deaths in South Korea, Italy, Spain, France, UK, Germany, and USA",medRxiv,10.1101/2020.05.08.20095489,5
pub.1134401855,Antithrombotic Therapy in COVID-19: Systematic Summary of Ongoing or Completed Randomized Trials,medRxiv,10.1101/2021.01.04.21249227,5
pub.1131008905,Advanced Constitutive Modeling of the Thixotropic Elasto-Visco-Plastic Behavior of Blood: Description of the Model and Rheological Predictions,Materials,10.3390/ma13184184,5
pub.1134475579,Vitamin D Status Is Associated With In-Hospital Mortality and Mechanical Ventilation: A Cohort of COVID-19 Hospitalized Patients,Mayo Clinic Proceedings,10.1016/j.mayocp.2021.01.001,5
pub.1129807483,The COVID-19 pandemic as a scientific and social challenge in the 21st century,Molecular Medicine Reports,10.3892/mmr.2020.11393,5
pub.1135061908,Overcoming barriers by local drug delivery with liposomes,Advanced Drug Delivery Reviews,10.1016/j.addr.2021.01.019,5
pub.1128712850,Generation of SARS-CoV-2 S1 spike glycoprotein putative antigenic epitopes in vitro by intracellular aminopeptidases,bioRxiv,10.1101/2020.06.22.164681,5
pub.1129124129,"COVID‑19 pandemic: Understanding the emergence, pathogenesis and containment (Review)",World Academy of Sciences Journal,10.3892/wasj.2020.59,5
pub.1133730582,Are environmental pollution and biodiversity levels associated to the spread and mortality of COVID-19? A four-month global analysis,Environmental Pollution,10.1016/j.envpol.2020.116326,5
pub.1130232070,Herding behaviour in digital currency markets: An integrated survey and empirical estimation,Heliyon,10.1016/j.heliyon.2020.e04752,5
pub.1130001100,"Synthesis, structural determination, in vitro and in silico biological evaluation of divalent or trivalent cobalt complexes with indomethacin",Journal of Inorganic Biochemistry,10.1016/j.jinorgbio.2020.111213,5
pub.1132687068,Assessment of eating habits and lifestyle during the coronavirus 2019 pandemic in the Middle East and North Africa region: a cross-sectional study.,British Journal Of Nutrition,10.1017/s0007114520004547,5
pub.1132621573,Maternal and perinatal outcomes in pregnant women infected by SARS-CoV-2: A meta-analysis,European Journal of Obstetrics & Gynecology and Reproductive Biology,10.1016/j.ejogrb.2020.11.038,5
pub.1131276203,The noise climate at the time of SARS-CoV-2 VIRUS/COVID-19 disease in Athens – Greece: The case of Athens International Airport and the Athens Ring Road (Attiki Odos),Noise Mapping,10.1515/noise-2020-0014,5
pub.1130144601,"Adult congenital heart care in the COVID-19 era, and beyond: A call for action",International Journal of Cardiology Congenital Heart Disease,10.1016/j.ijcchd.2020.100002,5
pub.1129818342,Tsunami Alert Efficiency in the Eastern Mediterranean Sea: The 2 May 2020 Earthquake (Mw6.6) and Near-Field Tsunami South of Crete (Greece),GeoHazards,10.3390/geohazards1010005,5
pub.1128975599,Management strategies for children with COVID-19: ESPR practical recommendations,Pediatric Radiology,10.1007/s00247-020-04749-3,5
pub.1134473354,A review of the nanomaterials use for the diagnosis and therapy of salmonella typhi,Journal of Molecular Structure,10.1016/j.molstruc.2021.129928,5
pub.1126596356,Doing the right thing for the right reason when treating ruptured abdominal aortic aneurysms in the COVID-19 era,Journal of Vascular Surgery,10.1016/j.jvs.2020.04.009,5
pub.1134806555,A skeleton in the closet: The implications of COVID-19 on XDR strain of Typhoid in Pakistan,Public Health in Practice,10.1016/j.puhip.2021.100084,5
pub.1130287482,COVID-19 and Cholinergic Anti-inflammatory Pathway: In silico Identification of an Interaction between α7 Nicotinic Acetylcholine Receptor and the Cryptic Epitopes of SARS-CoV and SARS-CoV-2 Spike Glycoproteins,bioRxiv,10.1101/2020.08.20.259747,5
pub.1128170969,Particulate Production and Composite Dust during Routine Dental Procedures. A Systematic Review with Meta-Analyses,Materials,10.3390/ma13112513,5
pub.1132448086,Extensive Testing and Public Health Interventions for the Control of COVID-19 in the Republic of Cyprus between March and May 2020,Journal of Clinical Medicine,10.3390/jcm9113598,5
pub.1127871465,The COVID‐19 outbreak in dermatologic surgery: resetting clinical priorities,Journal of the European Academy of Dermatology and Venereology,10.1111/jdv.16672,5
pub.1128964492,"Evaluating How ‘Smart’ Brașov, Romania Can Be Virtually via a Mobile Application for Cultural Tourism",Sustainability,10.3390/su12135324,5
pub.1129790607,Access to Housing and Social Inclusion in a Post-Crisis Era: Contextualizing Recent Trends in the City of Athens,Social Inclusion,10.17645/si.v8i3.2778,5
pub.1135646168,SARS-CoV-2 Vaccines in Patients With Multiple Myeloma.,HemaSphere,10.1097/hs9.0000000000000547,5
pub.1135013141,"Micronutrients, Phytochemicals and Mediterranean Diet: A Potential Protective Role against COVID-19 through Modulation of PAF Actions and Metabolism",Nutrients,10.3390/nu13020462,5
pub.1132268694,Heavy metal and pesticide levels in dairy products: Evaluation of human health risk,Food and Chemical Toxicology,10.1016/j.fct.2020.111844,5
pub.1127647136,COVID-19 and Environmental factors. A PRISMA-compliant systematic review,medRxiv,10.1101/2020.05.10.20069732,5
pub.1130047667,A fractal kinetics SI model can explain the dynamics of COVID-19 epidemics,PLOS ONE,10.1371/journal.pone.0237304,5
pub.1127864352,Loud and silent epidemics in the third millennium: tuning-up the volume,International Orthopaedics,10.1007/s00264-020-04608-8,5
pub.1128227049,RETRACTED ARTICLE: Homeopathy combat against coronavirus disease (Covid-19),Journal of Public Health,10.1007/s10389-020-01305-z,5
pub.1127398612,Thrombosis and thromboembolism related to COVID‐19: A clarion call for obtaining solid estimates from large‐scale multicenter data,Research and Practice in Thrombosis and Haemostasis,10.1002/rth2.12364,5
pub.1129376963,The impact of COVID-19 pandemic on adult cardiac surgery procedures,Hellenic Journal of Cardiology,10.1016/j.hjc.2020.07.001,5
pub.1136289296,Management of hospitalised adults with coronavirus disease 2019 (COVID-19): a European Respiratory Society living guideline,European Respiratory Journal,10.1183/13993003.00048-2021,4
pub.1128086869,Temporal evolution and adaptation of SARS-COV-2 codon usage,bioRxiv,10.1101/2020.05.29.123976,4
pub.1130758982,Drones for Automated External Defibrillator Delivery: Where Do We Stand?,Journal of Emergency Medicine,10.1016/j.jemermed.2020.07.027,4
pub.1135071832,Treatment of multiple myeloma-related bone disease: recommendations from the Bone Working Group of the International Myeloma Working Group,The Lancet Oncology,10.1016/s1470-2045(20)30559-3,4
pub.1132444745,Quantifying the relationship between seaborne trade and shipping freight rates: A Bayesian vector autoregressive approach,null,10.1016/j.martra.2020.100001,4
pub.1132891702,"Author reply – Letter to the editor regarding ‘‘Prevalence of depression, anxiety, and insomnia among healthcare workers during the COVID-19 pandemic: A systematic review and meta-analysis’",Brain Behavior and Immunity,10.1016/j.bbi.2020.11.025,4
pub.1128167855,Risk factors for mortality in pregnant women with SARS-CoV-2 infection,medRxiv,10.1101/2020.05.31.20107276,4
pub.1135658303,Changes in black carbon emissions over Europe due to COVID-19 lockdowns,Atmospheric Chemistry and Physics,10.5194/acp-21-2675-2021,4
pub.1132502335,Kawasaki Disease and COVID-19,Mediterranean Journal of Rheumatology,10.31138/mjr.31.3.268,4
pub.1132501160,Silver linings in the dark clouds of COVID-19: Improvement of air quality over India and Delhi metropolitan area from measurements and WRF-CHIMERE model simulations,Atmospheric Pollution Research,10.1016/j.apr.2020.11.005,4
pub.1135374634,COVID-19 mortality in the UK Biobank cohort: revisiting and evaluating risk factors,European Journal of Epidemiology,10.1007/s10654-021-00722-y,4
pub.1126656037,"Medical misinformation in mass and social media: An urgent call for action, especially during epidemics",European Journal of Clinical Investigation,10.1111/eci.13227,4
pub.1134909234,Autophagy in liver diseases,World Journal of Hepatology,10.4254/wjh.v13.i1.6,4
pub.1134296717,Diabetes mellitus and SARS-CoV-2 infection: pathophysiologic mechanisms and implications in management.,Current Diabetes Reviews,10.2174/1573399817666210101110253,4
pub.1133492605,Probiotics as a Weapon in the Fight Against COVID-19,Frontiers in Nutrition,10.3389/fnut.2020.614986,4
pub.1133015262,Miniaturized analytical methods for determination of environmental contaminants of emerging concern – A Review,Analytica Chimica Acta,10.1016/j.aca.2020.11.040,4
pub.1128301096,Social media mining for smart cities and smart villages research,Soft Computing,10.1007/s00500-020-05084-3,4
pub.1133405038,Photochemical metal-free aerobic oxidation of thiols to disulfides,Green Chemistry,10.1039/d0gc03818k,4
pub.1134005643,"Nanomedicine: Photo-activated nanostructured titanium dioxide, as a promising anticancer agent",Pharmacology & Therapeutics,10.1016/j.pharmthera.2020.107795,4
pub.1135864269,"From Recession to Depression? Prevalence and Correlates of Depression, Anxiety, Traumatic Stress and Burnout in Healthcare Workers during the COVID-19 Pandemic in Greece: A Multi-Center, Cross-Sectional Study",International Journal of Environmental Research and Public Health,10.3390/ijerph18052390,4
pub.1128605908,A cluster of COVID-19 in pilgrims to Israel,Journal of Travel Medicine,10.1093/jtm/taaa102,4
pub.1133319238,Greater decline of acute stroke admissions compared with acute coronary syndromes during COVID‐19 outbreak in Greece: Cerebro/cardiovascular implications amidst a second wave surge,European Journal of Neurology,10.1111/ene.14666,4
pub.1127379868,Performing dermoscopy in the COVID‐19 pandemic,Dermatologic Therapy,10.1111/dth.13506,4
pub.1130316338,Untuned antiviral immunity in COVID-19 revealed by temporal type I/III interferon patterns and flu comparison,medRxiv,10.1101/2020.08.21.20179291,4
pub.1134957709,Adherence to the Mediterranean diet is an independent predictor of circulating vitamin D levels in normal weight and non-smoker adults: an observational cross-sectional study,International Journal of Food Sciences and Nutrition,10.1080/09637486.2021.1878488,4
pub.1134594697,SARS-CoV-2 infection and thrombotic complications: a narrative review,Journal of Thrombosis and Thrombolysis,10.1007/s11239-020-02374-3,4
pub.1134713460,Natural and Nature-Derived Products Targeting Human Coronaviruses,Molecules,10.3390/molecules26020448,4
pub.1129093320,[Case Report] Stress induced (Takotsubo) cardiomyopathy triggered by the COVID-19 pandemic,Experimental and Therapeutic Medicine,10.3892/etm.2020.8968,4
pub.1136246530,Attitudes of Healthcare Personnel towards Vaccinations before and during the COVID-19 Pandemic,International Journal of Environmental Research and Public Health,10.3390/ijerph18052703,4
pub.1132727690,ICU-acquired blood stream infections in critically ill patients with coronavirus disease- 19,Journal of Hospital Infection,10.1016/j.jhin.2020.11.009,4
pub.1131818223,COVID-19 Infection-Related Coagulopathy and Viscoelastic Methods: A Paradigm for Their Clinical Utility in Critical Illness,Diagnostics,10.3390/diagnostics10100817,4
pub.1132403644,Adding stress to the stressed: Senior high school students’ mental health amidst the COVID-19 nationwide lockdown in Greece,Psychiatry Research,10.1016/j.psychres.2020.113560,4
pub.1131319932,The Ugi Three‐Component Reaction; a Valuable Tool in Modern Organic Synthesis,European Journal of Organic Chemistry,10.1002/ejoc.202001157,4
pub.1127354564,Granulocyte-targeted therapies for airway diseases,Pharmacological Research,10.1016/j.phrs.2020.104881,4
pub.1132938797,Assessing COVID-19 susceptibility through analysis of the genetic and epigenetic diversity of ACE2-mediated SARS-CoV-2 entry,Pharmacogenomics,10.2217/pgs-2020-0092,4
pub.1130048610,Chemical Probes for Blocking of Influenza A M2 Wild-type and S31N Channels.,ACS Chemical Biology,10.1021/acschembio.0c00553,4
pub.1130716631,Covid-19 as cultural trauma,American Journal of Cultural Sociology,10.1057/s41290-020-00112-z,4
pub.1127820029,Management of surgical lung cancer patients during the COVID‐19 pandemic in the financially and resource strained Greek health care system,Journal of Surgical Oncology,10.1002/jso.25988,4
pub.1131920101,Research response to coronavirus disease 2019 needed better coordination and collaboration: a living mapping of registered trials,Journal of Clinical Epidemiology,10.1016/j.jclinepi.2020.10.010,4
pub.1135438682,Current challenges and future perspectives in oral absorption research: An opinion of the UNGAP network,Advanced Drug Delivery Reviews,10.1016/j.addr.2021.02.001,4
pub.1134233624,Water-Energy-Nutrients Synergies in the Agrifood Sector: A Circular Economy Framework,Energies,10.3390/en14010159,4
pub.1133921126,The psychological impact of the COVID-19 pandemic on secondary school teachers.,Psychiatriki,10.22365/jpsych.2020.314.293,4
pub.1128890095,A study of higher education students' self-perceived digital competences for learning and everyday life online participation,Journal of Documentation,10.1108/jd-03-2020-0041,4
pub.1133188880,Unraveling the roles of vitamin D status and melanin during COVID-19 (Review),International Journal of Molecular Medicine,10.3892/ijmm.2020.4802,4
pub.1130569453,Changing patterns in the epidemiology of β‐thalassemia,European Journal Of Haematology,10.1111/ejh.13512,4
pub.1128385705,Rethinking case fatality ratios for covid-19 from a data-driven viewpoint,Journal of Infection,10.1016/j.jinf.2020.06.010,4
pub.1134451484,Supply chain disruptions and resilience: a major review and future research agenda,Annals of Operations Research,10.1007/s10479-020-03912-1,4
pub.1134822022,COVID-19 and its consequences on mental health (Review),Experimental and Therapeutic Medicine,10.3892/etm.2021.9675,4
pub.1130355677,Mesenchymal stromal cells as potential immunomodulatory players in severe acute respiratory distress syndrome induced by SARS-CoV-2 infection,World Journal of Stem Cells,10.4252/wjsc.v12.i8.731,4
pub.1132883228,Modeling Cross-National Differences in Automated Vehicle Acceptance,Sustainability,10.3390/su12229765,4
pub.1127981609,"Diabetes is associated with increased risk for in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis comprising 18,506 patients",medRxiv,10.1101/2020.05.26.20113811,4
pub.1132710197,How to Create Walking Friendly Cities. A Multi-Criteria Analysis of the Central Open Market Area of Rijeka,Sustainability,10.3390/su12229470,4
pub.1131935865,Impact of COVID-19 pandemic and lockdown measures on mental health of children and adolescents in Greece,medRxiv,10.1101/2020.10.18.20214643,4
pub.1133366738,Treatment of allergic rhinitis during and outside the pollen season using mobile technology. A MASK study,Clinical and Translational Allergy,10.1186/s13601-020-00342-x,4
pub.1130162361,Hospital attendance and admission trends for cardiac diseases during the COVID-19 outbreak and lockdown in Greece,Public Health,10.1016/j.puhe.2020.08.007,4
pub.1128586605,Tracing open data in emergencies: The case of the COVID‐19 pandemic,European Journal of Clinical Investigation,10.1111/eci.13323,4
pub.1132570594,The combination of bromelain and curcumin as an immune-boosting nutraceutical in the prevention of severe COVID-19,Metabolism Open,10.1016/j.metop.2020.100066,4
pub.1133743382,E-Cigarette Use and COVID-19: Questioning Data Reliability,Journal of Adolescent Health,10.1016/j.jadohealth.2020.09.012,4
pub.1132327383,Selecting Remote Measurement Technologies to Optimize Assessment of Function in Early Alzheimer's Disease: A Case Study,Frontiers in Psychiatry,10.3389/fpsyt.2020.582207,4
pub.1136076004,"Allergic Reactions to Current Available COVID-19 Vaccinations: Pathophysiology, Causality, and Therapeutic Considerations",Vaccines,10.3390/vaccines9030221,4
pub.1127475261,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",medRxiv,10.1101/2020.05.05.20091983,4
