country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-21,-73,-22,-46,-65,-36,11
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-22,-47,4,-8,-51,-28,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-23,-47,2,-5,-51,-29,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-24,-45,5,15,-49,-27,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-25,-48,3,-15,-45,-27,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-26,-48,11,-5,-47,-26,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-27,-50,16,7,-54,-24,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-02-28,-62,-9,17,-58,-31,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-01,-45,5,-4,-48,-27,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-02,-51,1,-30,-53,-29,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-03,-49,13,-19,-50,-29,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-04,-51,9,-4,-50,-32,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-05,-56,2,-10,-51,-33,9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-06,-57,12,-8,-54,-28,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-07,-68,-18,-9,-60,-33,9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-08,-51,5,-14,-50,-33,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-09,-52,1,-14,-51,-34,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-10,-51,4,5,-50,-32,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-11,-52,3,-19,-49,-33,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-12,-52,18,-5,-48,-32,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-13,-54,34,-5,-51,-25,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-14,-69,0,-25,-65,-31,11
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-15,-61,-40,4,-70,-73,14
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-16,-59,-4,-31,-51,-37,9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-17,-55,4,-7,-50,-35,10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-18,-51,4,5,-48,-35,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-19,-58,5,-13,-53,-35,11
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-20,-54,19,7,-54,-25,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-21,-57,7,35,-55,-28,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-22,-45,11,11,-49,-33,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-23,-53,1,-29,-54,-35,9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-24,-50,33,-20,-47,-35,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-25,-70,-65,-29,-71,-72,19
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-26,-52,19,-2,-53,-34,9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-27,-53,19,1,-48,-22,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-28,-55,11,54,-47,-28,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-29,-43,11,27,-47,-31,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-30,-49,10,-9,-49,-33,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-03-31,-56,1,-36,-53,-36,10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-01,-53,3,-26,-47,-34,10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-02,-47,20,22,-45,-30,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-03,-47,22,30,-45,-20,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-04,-55,11,34,-53,-28,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-05,-39,15,19,-44,-31,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-06,-41,9,6,-47,-31,7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-07,-38,14,45,-42,-30,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-08,-37,16,26,-42,-29,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-09,-47,19,-8,-47,-30,8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-10,-46,26,13,-46,-19,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-11,-51,26,65,-49,-27,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-12,-36,20,36,-40,-26,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-13,-35,20,37,-41,-27,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-14,-35,21,51,-37,-26,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-15,-31,19,48,-38,-25,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-16,-39,18,25,-37,-25,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-17,-46,22,7,-41,-18,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-18,-51,27,58,-44,-25,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-19,-33,23,26,-39,-24,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-20,-32,20,26,-39,-24,4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-21,-32,24,44,-33,-24,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-22,-27,21,58,-28,-23,2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-23,-32,29,40,-29,-23,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-24,-40,32,19,-26,-15,2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-25,-50,89,11,-39,-13,5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-26,-20,36,57,-36,-26,2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-27,-22,34,56,-34,-27,1
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-28,-20,43,64,-25,-28,1
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-29,-15,53,68,-25,-31,0
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-04-30,-28,42,72,-45,-51,6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-01,-34,51,32,-31,-22,1
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-02,-51,-4,31,-56,-38,-2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-03,-18,-48,130,-51,-68,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-04,-23,-43,91,-42,-65,3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-05,-3,51,80,-21,-26,-1
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-06,-4,35,66,-25,-26,0
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-07,-11,34,56,-27,-25,1
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-08,-17,27,41,-19,-8,-1
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-09,-20,54,57,-18,-11,0
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-10,-7,39,42,-18,-16,-2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-11,-8,32,40,-25,-15,-2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-12,-6,38,61,-19,-15,-2
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-13,-1,39,62,-6,-14,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-14,-6,35,50,-4,-14,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-15,-9,30,61,18,-8,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-16,-9,57,81,26,-9,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-17,3,40,74,7,-12,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-18,1,33,68,-1,-13,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-19,3,40,90,-2,-12,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-20,9,41,101,11,-10,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-21,1,41,70,21,-10,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-22,-7,31,72,44,-3,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-23,-5,58,126,86,-5,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-24,7,44,100,27,-10,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-25,4,36,92,11,-10,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-26,9,41,127,16,-11,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-27,15,43,115,20,-8,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-28,8,48,92,38,-8,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-29,1,41,98,68,2,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-30,-6,71,99,106,0,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-05-31,15,51,109,33,-4,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-01,12,48,93,34,-7,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-02,13,49,123,47,-7,-4
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-03,19,48,134,50,-4,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-04,10,48,104,53,-4,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-05,5,43,105,96,5,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-06,4,79,161,141,6,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-07,20,56,145,51,-2,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-08,17,50,128,40,-3,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-09,19,50,156,67,-4,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-10,26,50,160,59,-5,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-11,14,48,126,66,-6,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-12,8,39,120,111,7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-13,5,85,167,167,9,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-14,23,56,147,62,-6,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-15,13,48,108,60,-7,-3
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-16,24,51,176,86,-8,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-17,25,52,188,78,-7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-18,15,45,146,85,-8,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-19,8,38,152,144,5,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-20,12,96,224,197,7,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-21,25,22,263,70,-38,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-22,22,51,171,86,-7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-23,26,51,222,115,-7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-24,34,53,227,100,-5,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-25,23,53,175,104,-6,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-26,12,42,168,174,10,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-27,14,104,229,247,15,-10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-28,37,60,219,107,-5,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-29,30,50,185,94,-8,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-06-30,35,56,245,146,-7,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-01,37,57,246,146,-7,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-02,28,63,190,155,-7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-03,21,56,178,255,12,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-04,26,130,252,319,20,-11
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-05,51,74,268,166,-5,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-06,46,67,240,166,-6,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-07,50,71,286,206,-7,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-08,52,71,285,198,-5,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-09,41,73,226,202,-6,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-10,27,61,195,310,16,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-11,34,163,255,372,29,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-12,58,77,307,199,-5,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-13,53,75,273,201,-6,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-14,60,77,319,249,-6,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-15,65,80,316,240,-3,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-16,48,75,258,236,-5,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-17,35,66,228,351,17,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-18,44,164,299,421,29,-10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-19,70,87,336,228,-4,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-20,64,83,306,237,-4,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-21,67,86,364,278,-4,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-22,72,85,349,263,-1,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-23,57,84,274,253,-3,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-24,43,76,235,379,20,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-25,54,185,283,454,35,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-26,81,94,361,249,-2,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-27,72,85,323,251,-3,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-28,75,90,379,307,-3,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-29,82,95,376,276,1,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-30,62,88,294,273,-1,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-07-31,45,79,257,392,21,-10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-01,58,195,338,484,36,-11
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-02,89,104,388,266,-3,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-03,79,94,340,265,-4,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-04,86,101,416,321,-4,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-05,92,102,413,292,-2,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-06,67,94,320,290,-4,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-07,57,89,298,427,24,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-08,74,214,376,507,41,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-09,109,116,462,292,-3,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-10,97,105,404,292,-5,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-11,100,107,475,348,-7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-12,105,109,471,307,-6,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-13,83,108,376,314,-9,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-14,66,106,317,449,16,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-15,83,183,360,505,31,-10
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-16,108,104,493,303,-16,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-17,97,99,425,290,-12,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-18,98,101,492,341,-9,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-19,99,101,458,298,-7,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-20,76,94,353,297,-8,-5
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-21,58,85,290,416,21,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-22,72,206,332,504,44,-9
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-23,96,105,399,285,-2,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-24,83,90,338,274,-4,-6
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-25,85,92,398,319,-3,-7
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-26,83,91,374,284,0,-8
GR,Greece,Decentralized Administration of Crete,,,,,ChIJg7ePxdcDmxQRmJlhKBGUMrs,2021-08-27,62,82,279,272,-2,-6
