Α/Α,ΥΠΟΥΡΓΕΙΟ,ΑΠΟΦΑΣΕΙΣ/ΜΕΤΡΑ,ΔΙΑΤΑΞΕΙΣ,ΦΕΚ,ΠΡΟΘΕΣΜΙΑ ΕΩΣ:,LINK,ΣΧΟΛΙΑ - ΛΗΞΗ
597,ΥΓΕΙΑΣ - ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ,"Αριθμ. Δ1α/Γ.Π.οικ. 48293
 Τροποποίηση της υπ’ αρ Δ1α/Γ.Π.οικ.47417/
 24.7.2020 κοινής απόφασης των Υπουργών Υγείας και Υποδομών και Μεταφορών «Επιβολή προληπτικών ελέγχων στα σημεία εισόδου στη Χώρα μέσω αεροπορικών συνδέσεων με τη Βουλγαρία και τη Ρουμανία, προς περιορισμό της διασποράς του κορωνοϊού COVID-19» (B΄ 3096)","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α’ 42),
 όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α΄ 76) και ιδίως η περ. γ) της παρ. 2 και η περ. β) της παρ.
 4 αυτού",Β3134/30-7-20,"αεροπορικές συνδέσεις με Βουλγαρία & Ρουμανία 
 τροποποίησε το Β' 3096 ως προς την προσθήκη των Η.Α.Ε. & την επίδειξη αρνητικού τεστ στις αεροπορικές εταιρίες με ποινή απαγόρευση επιβίβασης",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8VUSpgL_HkaB_zJjLAILKFuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtcAdx6hkTzvjP38wgfPkYhSPlkRU-NcXiqPrfLmbMW6H,"έως 4/8 
 (παρατάθηκε από Β' 3167 έως 15/8)"
598,ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,"Αριθμ. ΥΠΕΝ/ΔΑΟΚΑ/74209/2111
 Έγκριση οικοδομικής άδειας και περιβαλλοντικών όρων για την κατασκευή και λειτουργία πενήντα (50) νέων κλινών μονάδων εντατικής θεραπείας εντός τμήματος του Γενικού Νοσοκομείου Νοσημάτων Θώρακος Αθηνών «Η Σωτηρία»","Άρθρο εξηκοστό δεύτερο «Ανάθεση μελέτης και
 κατασκευής έργου δημιουργίας κλινών ΜΕΘ» της από
 13.04.2020 Πράξης Νομοθετικού Περιεχομένου (Π.Ν.Π.) «Μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και άλλες κατεπείγουσες διατάξεις» (Α΄ 84), όπως κυρώθηκε με το άρθρο 1 του ν. 4690/2020 (Α΄ 104",Β3140/30-7-20,,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Z9DpXoFZ5_7NZ8op6Z_wSuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtViUTskSYxOQkvNrSmmj89jTa8p2eDwnDeHLQJ_6dhmL,-
599,"ΟΙΚΟΝΟΜΙΚΩΝ - ΕΡΓΑΣΙΑΣ
 ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ","Αριθμ. Δ12α/ ΓΠ. 23962/711
 Ανάθεση Οργάνωσης και λειτουργίας των κατασκηνώσεων για Άτομα με Αναπηρίες για το έτος 2020","Διατάξεις της υπ’ αρ. Δ11/οικ.23973/811/18-6-2020 Εγκύκλιο «Οδηγίες για την λειτουργία κατασκηνώσεων φιλοξενίας, παιδιών ηλικίας 6 έως 16 ετών, Ατόμων με Αναπηρίες, Ηλικιωμένων Ατόμων και Μέτρα πρόληψης και αντιμετώπισης της πανδημίας του κορωνοϊού COVID–19» (ΑΔΑ: 6ΑΚΡ46ΜΤΛΚ-ΛΑΥ)
 (ΔΕΝ ΕΚΔΙΔΕΤΑΙ ΔΥΝΑΜΕΙ ΔΙΑΤΑΞΕΩΝ ΠΝΠ)",Β3140/30-7-20,,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Z9DpXoFZ5_4tiDow6HlTE-JInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtbDLnFAajSp3Zc36VWBthvclfdMBY7GndNOjEMmd7UD2,-
600,"ΟΙΚΟΝΟΜΙΚΩΝ - ΕΡΓΑΣΙΑΣ ΚΑΙ
 ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ","Αριθμ. οικ. 30742/1002 
 Παράταση της ισχύος των έκτακτων και προσωρινών μέτρων στην αγορά εργασίας για την αντιμετώπιση και τον περιορισμό της διάδοσης του κορωνοϊού COVID-19 ως προς την οργάνωση του χρόνου και του τόπου εργασίας του άρθρου 4 της από 11.03.2020 (Π.Ν.Π.) «Κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της διάδοσής του», (Α’ 55)","Άρθρο 4 της από 11.03.2020 (Π.Ν.Π.) «Κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της
 εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης
 περιορισμού της διάδοσής του» (Α’ 55), όπως κυρώθηκε με το άρθρο 2 του ν. 4682/2020 (Α’ 76)",Β3148/30-7-20,"εξ αποστάσεως εργασία 
 (βλ. 1208_1566_2083) 
 παρέτεινε το Β' 2684",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Z9DpXoFZ5_7uFUDqazHcNeJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtblcXh_Y5qE_YEfEe0sfe5Kju0aUAygkzHhDxIIZahqX,"έως 30/9 
 (παρατάθηκε με Β' 3945 έως 31/12)"
601,"ΟΙΚΟΝΟΜΙΚΩΝ - ΑΝΑΠΤΥΞΗΣ
 KAI ΕΠΕΝΔΥΣΕΩΝ - ΤΟΥΡΙΣΜΟΥ - ΕΠΙΚΡΑΤΕΙΑΣ","Αριθμ. 12181
 Τροποποίηση της υπ’ αρ. 9022/16.06.2020 κοινής υπουργικής απόφασης «Πρόγραμμα “Τουρισμός για όλους” έτους 2020» (Β΄ 2393)","Άρθρο 83 του ν. 4690/2020 «Κύρωση: α) της από 13.4.2020 πράξης Νομοθετικού Περιεχομένου «Μέτρα
 για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και άλλες κατεπείγουσες διατάξεις» (A΄ 84) και β) της από 1.5.2020 πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α΄ 90) και άλλες διατάξεις» (Α΄ 104)",Β3155/31-7-20,"Τουρισμός για όλους 
 (τροποποίησε το Β' 2393 βλ. & Β' 4037)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8BWSxBgEw3dEliYHTRwL0-OJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtT0TsWqO6krs5V-xbbIp9JZMJBHZTVUtQA6FcblVVMk7,έως 31/12
602,"ΟΙΚΟΝΟΜΙΚΩΝ - ΑΝΑΠΤΥΞΗΣ ΚΑΙ
 ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ","Αριθμ. Δ1α/ΓΠ.οικ. 48596
 Παράταση ισχύος της υπ’ αρ. Δ1α/Γ.Π.οικ.38424/
 18.6.2020 κοινής απόφασης των Υπουργών Οικονομικών, Ανάπτυξης και Επενδύσεων, Προστασίας του Πολίτη, Εργασίας και Κοινωνικών Υποθέσεων, Υγείας και Εσωτερικών «Κανόνες τήρησης αποστάσεων σε οργανωμένες ιδιωτικές και μη παραλίες στο σύνολο της Επικράτειας, προς περιορισμό της διασποράς του κορωνοϊού COVID-19, ισχύος από τις 18.6.2020 έως και τις 2.7.2020» (Β’ 2420), έως και τις 31.8.2020","Άρθρο τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α’ 90), όπως κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α’ 104)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α’ 42), όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76)
 ##
 Άρθρο εικοστό τρίτο παρ. 4 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α’ 64), όπως
 κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 76)",Β3157/31-7-20,"ΠΑΡΑΛΙΕΣ 
 (παρέτεινε Β' 2420_2704_2875)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8BWSxBgEw3dH3U4LPcASlceJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtQOTy4HG73CvMCkoVcY2wIIndW3JCOg2FAF9Cnc3obCS,"έως 31/8 
 
 [απορροφήθηκε στη ΧΑΜ 12 Β' 3611 έως 15/9]"
603,"ΥΓΕΙΑΣ – ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ -
 ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","Αριθμ. Δ1α/Γ.Π.οικ. 48937
 Επιβολή του μέτρου του προσωρινού περιορισμού των αεροπορικών και θαλάσσιων συνδέ σεων με την Τουρκία, την Αλβανία και τη Βόρεια Μακεδονία, προς περιορισμό της διασποράς του κορωνοιού COVID-19","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42)
 και ιδίως η περ. δ΄ της παρ. 2 και η περ. β΄ της παρ. 4 αυτού, όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α΄ 76)",Β3158/31-7-20,"Τουρκία, Αλβανία, Βόρεια Μακεδονία 
 (αντικατέστησε τα Β' 989_1420_1849_2091_2279_2660_2733_2796_2868)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8BWSxBgEw3dHuFUDqazHcNeJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtRueK4Yi8UAbjWVvlPPk1TdjyDvHhQ8iaoebJlk26Nfl,"έως 15/8 
 (παρατάθηκε με Β' 3397 έως 31/8)"
604,"ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ","Αριθμ. Δ1α/ΓΠ.οικ. 48595
 Επιβολή του μέτρου της προσωρινής απαγόρευσης πανηγύρεων και άλλων αντίστοιχων δημόσιων ανοικτών εκδηλώσεων, στο σύνολο της Επικράτειας, για το χρονικό διάστημα από 1.8.2020 έως και 31.8.2020, προς περιορισμό της διασποράς του κορωνοϊού COVID-19","Άρθρο πρώτου της από 25.2.2020 Πράξης
 Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα
 αποφυγής και περιορισμού της διάδοσης κορωνοϊού»
 (Α΄ 42), όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76) και ιδίως της περ. ζ’ της παρ. 2 και της περ. ε΄ της παρ. 4 αυτού",Β3159/31-7-20,"ΠΑΝΗΓΥΡΙΑ 
 (απορρόφησε το Β' 2857)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8BWSxBgEw3dFp6k5uE6xNduJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtf1jpUuwo0olJmPE9q1NiMCw_uNuIzW6tYhjkPDa3pxA,"έως 31/8 
 
 (απορροφήθηκε στην ΑΝΤΙ-ΧΑΜ 11_Β' 3573 έως 15/9)"
605,"ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ
 ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ
 ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ -
 ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","Αριθμ. Δ1α/Γ.Π.οικ. 48932
 Μέτρα προστασίας στα ιδιωτικά και επαγγελματικά πλοία αναψυχής, ανεξαρτήτως σημαίας, που προέρχονται από το εξωτερικό, στο σύνολο της Επικράτειας, προς περιορισμό της διάδοσης του κορωνοϊού COVID-19","Άρθρο τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α΄ 90), όπως κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α΄ 104)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42), όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α΄ 46)",Β3160/31-7-20,"ΠΛΟΙΑ ΕΚΤΟΣ 
 
 (αντικατέστησε Β' 860_1421_1860_932_1479_1586_1650_2092_2283_2379_2419_2660_2663_2731_2873)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88JI94GGsYwvNZ8op6Z_wSuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtVjvXpgnnjMMV0fuHVjhqTQK9c2hsiejTSHNdhkpXdK2,"έως 31/8 
 
 [απορροφήθηκε στη ΧΑΜ 12 Β' 3611 έως 15/9]"
606,"ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ
 ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ
 ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ -
 ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","Αριθμ. Δ1α/Γ.Π.οικ. 48929
 Μέτρα προστασίας στα ιδιωτικά και επαγγελματικά πλοία αναψυχής, καθώς και στα επαγγελματικά τουριστικά ημερόπλοια στο σύνολο της Επικράτειας, προς περιορισμό της διάδοσης του κορωνοϊού COVID-19","Άρθρο τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α΄ 90), όπως κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α΄ 104)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης
 Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα
 αποφυγής και περιορισμού της διάδοσης κορωνοϊού»
 (Α΄ 42), όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020
 (Α΄ 46)",Β3161/31-7-20,"YACHTING 
 ΠΛΟΙΑ ΕΝΤΟΣ 
 
 (αντικατέστησε τα Β' 944_1209_1302_1480_1589_1651_1698_1871_1994_2028_2284_2662_2876)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88JI94GGsYwstiDow6HlTE-JInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMteTM6lbEBwTqBBMW6PoCOydVNhz1L96U04C0RZP4JLIt,"έως 31/8 
 
 [απορροφήθηκε στη ΧΑΜ 12 Β' 3611 έως 15/9]"
607,"ΟΙΚΟΝΟΜΙΚΩΝ -
 ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ –
 ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ –
 ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ -
 ΕΣΩΤΕΡΙΚΩΝ","Αριθμ. Δ1α/ΓΠ.οικ. 48967
 Εφαρμογή του μέτρου της υποχρεωτικής χρήσης
 μάσκας σε κλειστούς χώρους στο σύνολο της Επικράτειας, προς περιορισμό της διασποράς του κορωνοϊού COVID-19","Άρθρο τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α’ 90), όπως κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α’ 104)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α’ 42), όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 46)
 ##
 Άρθρο εικοστό τρίτο παρ. 4 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (A’ 64), όπως
 κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 46)",Β3162/31-7-20,"ΜΑΣΚΑ 
 τροποποιήθηκε από Β' 3224",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88JI94GGsYwvnMRVjyfnPUeJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtQLTNqf6SspvqWNA9mu9H-9FE3Ix8H3ZrAfXGlx0PggT,"έως 31/8 
 καταργήθηκε με Β' 3330 έως 31/8"
608,"ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ -
 ΕΣΩΤΕΡΙΚΩΝ","Αριθμ. Δ1α/ΓΠ.οικ.49000
 Aναστολή επισκεπτηρίων σε νοσοκομεία, κέντρα φροντίδας ηλικιωμένων και δομές ευάλωτων ομάδων","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42) και ιδίως η περ. ζ) της παρ. 2 και η περ. ε) της παρ. 4 αυτού, όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020
 (Α’ 76)
 ##
 Άρθρο ένατο παρ. 3 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α’ 64), όπως κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 76)",Β3163/31-7-20,ΕΠΙΣΚΕΠΤΗΡΙΑ,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88JI94GGsYwu4ndCieBbLVuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtXKD9y23mkZd3BjlTJoF3HWlpglJkRdLGu5IQ014MGcx,"έως 15/8 
 (παρατάθηκε με Β' 3395 έως 31/8)"
609,"ΟΙΚΟΝΟΜΙΚΩΝ-ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ-
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ-
 ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ-
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ-
 ΥΓΕΙΑΣ-ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ-
 ΕΣΩΤΕΡΙΚΩΝ-ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ-
 ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","Αριθμ. Δ1α/ΓΠ.οικ. 48976
 Κανόνες τήρησης αποστάσεων και άλλα μέτρα
 προστασίας σε ιδιωτικές επιχειρήσεις, δημόσιες
 υπηρεσίες και άλλους χώρους συνάθροισης κοινού στο σύνολο της Επικράτειας, προς περιορισμό της διασποράς του κορωνοϊού COVID-19","Άρθρα εικοστό έκτο και τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού
 COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α΄ 90), όπως κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α΄ 104)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42), όπως κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α΄ 76)
 ##
 Άρθρο εικοστό τρίτο παρ. 4 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (A΄ 64), όπως
 κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α΄ 76)",Β3165/31-7-20,"ΧΑΜ 11
 (απορρόφησε τα Β' 1647_1780_1869_1988_2087_2168_2277_2401_2601_2767_2798_2858_2948_3099)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88JI94GGsYwsliYHTRwL0-OJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtUujvknT58oAOoH-RpOf4dL7cg6stY4TpajUCkmXFL8W,"έως 31/8 
 (τροποποιήθηκε από Β' 3331 έως 31/8) 
 
 
 ΠΡΟΣΟΧΗ!!! 
 Καταργήθηκε σειρά πίνακα από τις παραβάσεις του άρθρου 3 με το Β' 3364 έως 31/8 
 
 [αντικαταστάθηκε από ΧΑΜ 12 Β' 3611 έως 15/9]"
610,ΥΓΕΙΑΣ - ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ,"Αριθμ. Δ1α/ΓΠ.οικ. 48998
 Παράταση ισχύος της υπ’ αρ. Δ1α/Γ.Π.οικ. 46164/20.7.2020 κοινής απόφασης των Υπουργών Υγείας και Υποδομών και Μεταφορών «Επιβολή του μέτρου του προσωρινού περιορισμού των χερσαίων συνδέσεων της Χώρας, προς περιορισμό της διασποράς του κορωνοϊού COVID-19» (B’ 3009)","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α' 42) και ιδίως οι περ. γ) και δ) της παρ. 2 και η περ. β) της παρ. 4 αυτού, όπως κυρώθηκε με το άρθρο 1 τουν. 4682/2020 (Α' 76)",Β3166/1-8-20,χερσαίες συνδέσεις,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88JI94GGsYwsfP1Rf9veiteJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtYxcSILBVtzAnI9m4zWgCZ2fxZNtZbyogs0wv_5iTfRi,"έως 15/8 
 (παρέτεινε τα Β' 3009 & 3050 & τροποποιήθηκε από 3247 & 3301, 
 αντικαταστάθηκε από Β' 3346 & 3399 έως 31/8)"
